== baseline ==
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
== SET threshold mode=4, observe 10s ==
SUCCESS set_charging_protect = {"code":0,"data":{"result":1},"message":""}
SUCCESS set_charging_threshold = {"code":0,"data":{"result":1},"message":""}
SUCCESS register_battery_notify = {"code":0,"data":{"battery_percentage":80,"if_battery":0,"remain_time":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":4},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":12525},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":4},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":4},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":12525},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":4},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":4},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
== SET threshold mode=5, observe 10s ==
SUCCESS set_charging_protect = {"code":0,"data":{"result":1},"message":""}
SUCCESS set_charging_threshold = {"code":0,"data":{"result":1},"message":""}
SUCCESS register_battery_notify = {"code":0,"data":{"battery_percentage":80,"if_battery":0,"remain_time":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":5},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":5},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":5},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":5},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":5},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
== SET threshold mode=6, observe 10s ==
SUCCESS set_charging_protect = {"code":0,"data":{"result":1},"message":""}
SUCCESS set_charging_threshold = {"code":0,"data":{"result":1},"message":""}
SUCCESS register_battery_notify = {"code":0,"data":{"battery_percentage":80,"if_battery":0,"remain_time":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":6},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":6},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":6},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":6},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":6},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
== SET threshold mode=7, observe 10s ==
SUCCESS set_charging_protect = {"code":0,"data":{"result":1},"message":""}
SUCCESS set_charging_threshold = {"code":0,"data":{"result":1},"message":""}
SUCCESS register_battery_notify = {"code":0,"data":{"battery_percentage":80,"if_battery":0,"remain_time":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":7},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":7},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":7},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":7},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":7},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
== SET threshold mode=1, observe 10s ==
SUCCESS set_charging_protect = {"code":0,"data":{"result":1},"message":""}
SUCCESS set_charging_threshold = {"code":0,"data":{"result":1},"message":""}
SUCCESS register_battery_notify = {"code":0,"data":{"battery_percentage":80,"if_battery":0,"remain_time":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_state = {"code":0,"data":{"result":1},"message":""}
SUCCESS get_battery_percent = {"code":0,"data":{"result":80},"message":""}
SUCCESS get_charging_remainTime = {"code":0,"data":{"result":-1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_threshold = {"code":0,"data":{"mode":1},"message":""}
SUCCESS get_charging_protect = {"code":0,"data":{"mode":1},"message":""}
== done ==
